description,qtd_gram,kcal,protein,lipids,saturated,monoinsat,polinsat,omega_6,omega_3,colesterol,cho,fiber,calcium,mg,mn,p,iron,sodium,potassium,copper,zinco,retinol,tiamina,riboflavina,piridoxina,niacina,vitamin_c,eq_niacina,cobalamina,folato,vitamin_d,vitamin_e,trans,sodium_add,selenio,vitamin_a,sugar_total,sugar_add
"ARROZ (POLIDO, PARBOILIZADO, AGULHA, AGULHINHA, ETC)",100,"135,62","2,50","1,20","0,35","0,22","0,56","0,56","0,07",.,"27,78","1,55","3,51","2,23","0,29","17,77","0,08","1,19","14,53","0,01","0,49",.,.,.,.,.,.,.,.,.,.,"0,08","0,01","382,00","0,45",.,.,.
ARROZ INTEGRAL,100,"130,95","2,56","1,97","0,45","0,62","0,86","0,80","0,08",.,"25,56","2,72","5,15","58,13","0,62","104,82","0,26","1,23","74,42","0,02","0,68",.,"0,08",.,"0,08",.,.,.,.,.,.,"0,08","0,01","282,00","0,45",.,.,.
MILHO (EM GRAO) CRU(A),100,"160,14","3,32","7,18","1,12","1,72","4,01","3,59","0,42",.,"25,11","4,25","3,15","26,01","0,16","75,00","0,45","244,96","212,05","0,05","0,61",.,"0,22","0,07","0,06","1,61","6,20","2,00",.,"46,00",.,"0,57","0,03","245,00","2,90","13,17","3,16",.
MILHO (EM GRAO) COZIDO(A),100,"160,14","3,32","7,18","1,12","1,72","4,01","3,59","0,42",.,"25,11","4,25","3,15","26,01","0,16","75,00","0,45","244,96","212,05","0,05","0,61",.,"0,22","0,07","0,06","1,61","6,20","2,00",.,"46,00",.,"0,57","0,03","245,00","2,90","13,17","3,16",.
MILHO (EM GRAO) GRELHADO(A)/BRASA/CHURRASCO,100,"160,14","3,32","7,18","1,12","1,72","4,01","3,59","0,42",.,"25,11","4,25","3,15","26,01","0,16","75,00","0,45","244,96","212,05","0,05","0,61",.,"0,22","0,07","0,06","1,61","6,20","2,00",.,"46,00",.,"0,57","0,03","245,00","2,90","13,17","3,16",.
MILHO (EM GRAO) ASSADO(A),100,"160,14","3,32","7,18","1,12","1,72","4,01","3,59","0,42",.,"25,11","4,25","3,15","26,01","0,16","75,00","0,45","244,96","212,05","0,05","0,61",.,"0,22","0,07","0,06","1,61","6,20","2,00",.,"46,00",.,"0,57","0,03","245,00","2,90","13,17","3,16",.
MILHO (EM GRAO) REFOGADO(A),100,"160,14","3,32","7,18","1,12","1,72","4,01","3,59","0,42",.,"25,11","4,25","3,00","26,00","0,16","75,00","0,44",.,"212,00","0,05","0,61",.,"0,22","0,07","0,06","1,61","6,20","2,00",.,"46,00",.,"0,57","0,03","245,00","2,90","13,17","3,16",.
MILHO (EM GRAO) ENSOPADO,100,"160,14","3,32","7,18","1,12","1,72","4,01","3,59","0,42",.,"25,11","4,25","3,00","26,00","0,16","75,00","0,44",.,"212,00","0,05","0,61",.,"0,22","0,07","0,06","1,61","6,20","2,00",.,"46,00",.,"0,57","0,03","245,00","2,90","13,17","3,16",.
MILHO (EM GRAO),100,"160,14","3,32","7,18","1,12","1,72","4,01","3,59","0,42",.,"25,11","4,25","3,15","26,01","0,16","75,00","0,45","244,96","212,05","0,05","0,61",.,"0,22","0,07","0,06","1,61","6,20","2,00",.,"46,00",.,"0,57","0,03","245,00","2,90","13,17","3,16",.
CANJIQUINHA DE MILHO EM GRAOCRU(A),100,"79,68","1,24","2,20","0,33","0,49","1,22","1,09","0,13",.,"13,50","0,67","3,45","6,93","0,03","17,91","0,74","131,50","25,96","0,02","0,13",.,"0,11","0,07","0,03","0,91",.,"1,02",.,"20,81",.,"0,18","0,01","126,00","2,85","1,83","0,29",.
CANJIQUINHA DE MILHO EM GRAOCOZIDO(A),100,"62,95","1,24","0,31","0,03","0,06","0,13","0,12","0,00",.,"13,50","0,67","3,37","6,93","0,03","17,91","0,74","5,01","25,93","0,02","0,13",.,"0,11","0,07","0,03","0,91",.,"1,02",.,"20,81",.,"0,03",.,"126,00","1,98","1,83","0,29",.
CANJIQUINHA DE MILHO EM GRAOENSOPADO,100,"79,68","1,24","2,20","0,33","0,49","1,22","1,09","0,13",.,"13,50","0,67","3,37","6,93","0,03","17,91","0,74","5,01","25,93","0,02","0,13",.,"0,11","0,07","0,03","0,91",.,"1,02",.,"20,81",.,"0,18","0,01","126,00","2,85","1,83","0,29",.
CANJIQUINHA DE MILHO EM GRAOMINGAU,100,"62,95","1,24","0,31","0,03","0,06","0,13","0,12","0,00",.,"13,50","0,67","3,37","6,93","0,03","17,91","0,74","5,01","25,93","0,02","0,13",.,"0,11","0,07","0,03","0,91",.,"1,02",.,"20,81",.,"0,03",.,"126,00","1,98","1,83","0,29",.
CANJIQUINHA DE MILHO EM GRAOSOPA,100,"31,44","0,95","0,12","0,04","0,03","0,03","0,03","0,01",.,"7,01","0,71","8,56","6,35","0,07","15,76","0,29","310,43","88,32","0,04","0,12",.,"0,03","0,03","0,04","0,51","2,10","0,67","0,02","9,28",.,"0,20","0,00",.,"1,34","33,48","3,28","2,52"
CANJIQUINHA DE MILHO EM GRAO,100,"62,95","1,24","0,31","0,03","0,06","0,13","0,12","0,00",.,"13,50","0,67","3,37","6,93","0,03","17,91","0,74","5,01","25,93","0,02","0,13",.,"0,11","0,07","0,03","0,91",.,"1,02",.,"20,81",.,"0,03",.,"126,00","1,98","1,83","0,29",.
XEREM DE MILHO,100,"62,95","1,24","0,31","0,03","0,06","0,13","0,12","0,00",.,"13,50","0,67","3,37","6,93","0,03","17,91","0,74","5,01","25,93","0,02","0,13",.,"0,11","0,07","0,03","0,91",.,"1,02",.,"20,81",.,"0,03",.,"126,00","1,98","1,83","0,29",.
AMENDOIM (EM GRAO) (IN NATURA),100,"567,00","25,80","49,24","6,83","24,43","15,56","15,56","0,00",.,"16,13","8,50","92,00","168,00","1,93","376,00","4,58","18,00","705,00","1,14","3,27",.,"0,64","0,14","0,35","12,07",.,"16,23",.,"240,00",.,"8,33",.,.,"7,20",.,"4,00",.
ERVILHA EM GRAO,100,"109,09","5,36","3,06","0,48","0,67","1,74","1,53","0,21",.,"15,63","5,50","27,00","39,00","0,53","117,00","1,54","3,00","271,00","0,17","1,19",.,"0,26","0,15","0,22","2,02","14,20","2,64",.,"63,00",.,"0,37","0,02","236,00","3,20","40,08","5,94",.
FAVA (EM GRAO),100,"85,62","4,80","3,17","0,56","0,63","1,85","1,48","0,36",.,"10,10","3,60","18,00","31,00","0,26","73,00","1,50","41,00","193,00","0,06","0,47",.,"0,13","0,09","0,03","1,20","19,80","2,00",.,"58,00",.,"0,34","0,01","222,00","2,22","18,83","1,24",.
MANGALO AMARGO EM GRAO,100,"85,62","4,80","3,17","0,56","0,63","1,85","1,48","0,36",.,"10,10","3,60","18,00","31,00","0,26","73,00","1,50","41,00","193,00","0,06","0,47",.,"0,13","0,09","0,03","1,20","19,80","2,00",.,"58,00",.,"0,34","0,01","222,00","2,22","18,83","1,24",.
FEIJAO DE CORDA,100,"121,33","3,17","3,13","0,53","0,66","1,75","1,50","0,26",.,"20,32","5,00","128,00","52,00","0,57","51,00","1,12","4,00","418,00","0,13","1,03",.,"0,10","0,15","0,07","1,40","2,20","2,02",.,"127,00",.,"0,45","0,02","229,00","3,76","39,58","0,34",.
FEIJAO VERDE,100,"121,33","3,17","3,13","0,53","0,66","1,75","1,50","0,26",.,"20,32","5,00","128,00","52,00","0,57","51,00","1,12","4,00","418,00","0,13","1,03",.,"0,10","0,15","0,07","1,40","2,20","2,02",.,"127,00",.,"0,45","0,02","229,00","3,76","39,58","0,34",.
SEMENTE DE LINHACA,100,"534,00","18,29","42,16","3,66","7,53","28,73","5,90","22,81",.,"28,88","27,30","255,00","392,00","2,48","642,00","5,73","30,00","813,00","1,22","4,34",.,"1,64","0,16","0,47","3,08","0,60","8,03",.,"87,00",.,"0,31",.,.,"25,40",.,"1,55",.
ANDU,100,"97,41","5,84","1,79","0,30","0,38","1,01","0,86","0,15",.,"15,05","3,78","55,20","38,20","0,38","67,80","2,22","5,20","336,60","0,18","0,83",.,"0,07","0,03","0,06","0,08",.,"1,23",.,"48,60",.,"0,69","0,01","219,00","1,51",.,"0,30",.
GRAO DE BICO,100,"188,48","8,86","5,36","0,70","1,21","2,76","2,52","0,23",.,"27,42","7,60","49,00","48,00","1,03","168,00","2,89","7,00","291,00","0,35","1,53",.,"0,12","0,06","0,14","0,53","1,30","1,94",.,"172,00",.,"0,58","0,02","230,00","4,97","1,33","1,70",.
LENTILHA,100,"136,28","9,02","2,67","0,41","0,59","1,50","1,31","0,19",.,"20,13","5,86","19,00","36,00","0,49","180,00","3,33","2,00","369,00","0,25","1,27",.,"0,17","0,07","0,18","1,06","1,50","2,41",.,"181,00",.,"0,30","0,01","191,00","3,85","0,42","0,39",.
SOJA EM GRAO,100,"196,34","16,64","11,61","1,71","2,58","6,59","5,81","0,78",.,"9,93","6,00","102,00","86,00","0,82","245,00","5,14","1,00","515,00","0,41","1,15",.,"0,16","0,29","0,23","0,40","1,70","4,43",.,"54,00",.,"0,57","0,01","219,00","8,51","0,42","0,80",.
"FEIJAO (PRETO, MULATINHO, ROXO, ROSINHA, ETC)",100,"97,41","5,84","1,79","0,30","0,38","1,01","0,86","0,15",.,"15,05","3,78","55,20","38,20","0,38","67,80","2,22","5,20","336,60","0,18","0,83",.,"0,07","0,03","0,06","0,08",.,"1,23",.,"48,60",.,"0,69","0,01","219,00","1,51",.,"0,30",.
QUIRERA NAO ESPECIFICADA,100,"62,95","1,24","0,31","0,03","0,06","0,13","0,12","0,00",.,"13,50","0,67","3,37","6,93","0,03","17,91","0,74","5,01","25,93","0,02","0,13",.,"0,11","0,07","0,03","0,91",.,"1,02",.,"20,81",.,"0,03",.,"126,00","1,98","1,83","0,29",.
FEIJAO VERDE ORGANICO,100,"121,33","3,17","3,13","0,53","0,66","1,75","1,50","0,26",.,"20,32","5,00","128,00","52,00","0,57","51,00","1,12","4,00","418,00","0,13","1,03",.,"0,10","0,15","0,07","1,40","2,20","2,02",.,"127,00",.,"0,45","0,02","229,00","3,76","39,58","0,34",.
FEIJAO ORGANICO,100,"97,41","5,84","1,79","0,30","0,38","1,01","0,86","0,15",.,"15,05","3,78","55,20","38,20","0,38","67,80","2,22","5,20","336,60","0,18","0,83",.,"0,07","0,03","0,06","0,08",.,"1,23",.,"48,60",.,"0,69","0,01","219,00","1,51",.,"0,30",.
