Descrição do alimento,Quantidade (g),Energia (kcal),Proteína (g),Lipídeos (g),Saturada (g),Monoinsat (g),Polinsat (g),ômega 6,ômega 3,Colesterol (mg),CHO (g),Fibras (g),Cálcio (mg),Mg (mg),Mn (mg),P (mg),Ferro (mg),Sódio (mg),Potássio (mg),Cobre (mg),Zinco (mg),Retinol (mcg),Tiamina (mg),Riboflavina (mg),Piridoxina (mg),Niacina (mg),Vit. C (mg)
Cereais e derivados,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arroz, integral, cozido",100,"123,53","2,59","1,00","0,30","0,40","0,30","0,31","0,01",NA,"25,81","2,75","5,20","58,70","0,63","105,85","0,26","1,24","75,15","0,02","0,68",NA,"0,08",Tr,"0,08",Tr,
"Arroz, integral, cru",100,"359,68","7,32","1,86","0,30","0,50","0,40","0,38","0,02",NA,"77,45","4,82","7,82","109,71","2,99","250,87","0,95","1,65","173,34","0,07","1,40",NA,"0,26",Tr,"0,18","4,18",
"Arroz, tipo 1, cozido",100,"128,26","2,52","0,23","0,20",Tr,Tr,"0,06",,NA,"28,06","1,56","3,54","2,25","0,30","17,95","0,08","1,20","14,67","0,02","0,49",NA,Tr,Tr,Tr,Tr,
"Arroz, tipo 1, cru",100,"357,79","7,16","0,34","0,10","0,10","0,10","0,08",Tr,NA,"78,76","1,64","4,41","30,38","1,03","104,21","0,68","1,02","62,50","0,11","1,22",NA,"0,16",Tr,"0,07","1,12",
"Arroz, tipo 2, cozido",100,"130,12","2,57","0,36","0,10","0,10","0,10","0,09",Tr,NA,"28,19","1,07","3,33","6,05","0,37","21,52","0,05","1,96","20,20","0,04","0,55",NA,Tr,Tr,Tr,Tr,
"Arroz, tipo 2, cru",100,"358,12","7,24","0,28","0,10","0,10","0,10","0,09",Tr,NA,"78,88","1,72","4,83","29,24","0,83","82,04","0,60","0,57","57,28","0,05","1,27",NA,"0,16",Tr,"0,05","0,92",
"Aveia, flocos, crua",100,"393,82","13,92","8,50","1,54","3,16","3,02","2,95","0,06",NA,"66,64","9,13","47,89","118,76","1,89","153,40","4,45","4,63","336,33","0,44","2,63",NA,"0,55","0,03",Tr,"4,47","1,35"
"Biscoito, doce, maisena",100,"442,82","8,07","11,97","3,90","3,70","2,20","2,13","0,10",NA,"75,23","2,10","54,45","37,14","0,78","166,10","1,76","352,03","141,64","0,17","1,03",NA,"1,01","0,42","0,23","3,91","6,22"
"Biscoito, doce, recheado com chocolate",100,"471,82","6,40","19,58","6,20","6,60","1,70","1,68","0,06",Tr,"70,55","2,96","27,23","47,98","0,59","139,45","2,27","239,20","232,40","0,27","0,99",Tr,"0,32","0,39","0,46","2,52","3,53"
"Biscoito, doce, recheado com morango",100,"471,17","5,72","19,57","6,10","6,50","1,70","1,61","0,06",Tr,"71,01","1,53","35,78","27,10","0,66","137,74","1,48","229,82","113,01","0,13","0,73",Tr,"0,90","0,42","0,21","1,50",Tr
"Biscoito, doce, wafer, recheado de chocolate",100,"502,46","5,56","24,67","6,50","8,10","1,90","1,84","0,09",Tr,"67,54","1,80","23,34","47,85","0,44","124,20","2,44","137,24","240,45","0,26","0,87",Tr,"0,37","0,03","0,30","1,12",Tr
"Biscoito, doce, wafer, recheado de morango",100,"513,45","4,52","26,40","6,70","8,90","1,80","1,77","0,08","1,27","67,35","0,82","13,71","18,54","0,28","73,16","1,09","119,90","74,84","0,08","0,51",Tr,"0,36",Tr,"0,94","0,37",
"Biscoito, salgado, cream cracker",100,"431,73","10,06","14,44","4,40","4,60","2,90","2,79","0,01",NA,"68,73","2,51","20,00","39,75","0,69","148,26","2,20","854,36","180,61","0,18","1,14",NA,"0,71","0,13","0,17","7,14",
"Bolo, mistura para",100,"418,63","6,16","6,13","2,10","1,89","0,81","0,78","0,03",Tr,"84,71","1,70","58,88","27,92","0,46","332,66","1,21","462,88","75,36","0,15","0,58",NA,"0,18",Tr,"1,50","1,52",Tr
"Bolo, pronto, aipim",100,"323,85","4,42","12,75","5,00","3,90","1,10","1,04","0,06","73,20","47,86","0,69","85,02","10,34","0,11","122,19","0,49","111,01","134,82","0,05","0,42",Tr,"0,13","0,07",Tr,Tr,Tr
"Bolo, pronto, chocolate",100,"410,01","6,22","18,47","5,50","6,20","3,00","2,85","0,04","76,80","54,72","1,43","74,58","27,69","0,38","196,98","2,13","283,30","211,76","0,05","0,71",Tr,"0,13","0,09","0,05",Tr,Tr
"Bolo, pronto, coco",100,"333,44","5,67","11,30","4,90","3,00","1,80","1,71","0,06","63,21","52,28","1,06","57,11","16,25","0,40","303,40","0,85","190,34","143,29","0,09","0,68",Tr,"0,15","0,06",Tr,Tr,Tr
"Bolo, pronto, milho",100,"311,39","4,80","12,42","4,50","3,90","1,50","1,38","0,08","81,69","45,11","0,71","82,58","10,25","0,11","128,20","0,65","133,81","118,43","0,04","0,44","56,89","0,11","0,05",Tr,Tr,Tr
"Canjica, branca, crua",100,"357,60","7,20","0,97","0,30","0,20","0,40","0,38","0,01",NA,"78,06","5,50","1,96","12,33","0,09","48,50","0,32","0,79","92,95","0,05","0,36",NA,Tr,Tr,Tr,Tr,Tr
"Canjica, com leite integral",100,"112,46","2,36","1,24","0,60","0,37","0,15","0,15",Tr,"1,35","23,63","1,22","42,56","5,84","0,02","40,58","0,06","27,59","69,81","0,03","0,28",Tr,Tr,"0,04",Tr,Tr,Tr
"Cereais, milho, flocos, com sal",100,"369,60","7,29","1,60","0,50","0,60","0,90","0,89","0,03",NA,"80,84","5,29","1,81","20,10",Tr,"90,77","0,52","271,74","68,66",Tr,"0,61",NA,"0,12",Tr,"0,06",Tr,Tr
"Cereais, milho, flocos, sem sal",100,"363,34","6,88","1,18","0,30","0,30","0,60","0,60","0,02",NA,"80,45","1,84","1,97","16,55",Tr,"58,36","1,69","30,97","28,70","0,24","0,33",NA,"0,05",Tr,"0,04",Tr,Tr
"Cereais, mingau, milho, infantil",100,"394,43","6,43","1,09","0,30","0,30","0,50","0,45","0,01",NA,"87,27","3,21","218,81","16,03","0,11","169,16","3,03","399,40","82,02","0,04","0,36","21,42","3,72","0,47","5,08","24,16","109,37"
"Cereais, mistura para vitamina, trigo, cevada e aveia",100,"381,13","8,90","2,12","0,50","0,40","1,00","0,93","0,06",NA,"81,62","4,98","584,25","72,27","2,28","515,04","12,64","1163,26","244,36","0,21","2,02",Tr,"0,76","0,88","1,49","7,46","13,11"
"Cereal matinal, milho",100,"365,35","7,16","0,96","0,36","0,32","0,33","0,31",Tr,NA,"83,82","4,12","142,92","10,93","0,06","100,80","3,05","654,54","83,09","0,06","7,63",NA,"0,76","1,02","2,25","11,04","17,29"
"Cereal matinal, milho, açúcar",100,"376,56","4,74","0,67","0,23","0,29","0,33","0,33",Tr,NA,"88,84","2,11","56,42","7,94","0,13","43,18","3,90","405,31","51,60","0,04","8,48",NA,"0,73","1,11","0,79","10,13","14,55"
"Creme de arroz, pó",100,"386,00","7,03","1,23","0,40","0,30","0,40","0,43","0,01",NA,"83,87","1,07","7,09","50,50","1,24","153,02","0,63","1,03","114,68","0,04","1,86",NA,"0,22",Tr,"0,05",Tr,Tr
"Creme de milho, pó",100,"333,03","4,82","1,64","0,30","0,50","0,80","0,75","0,02",NA,"86,15","3,72","323,16","30,06","0,20","303,27","4,26","593,79","165,72","0,04","0,78",NA,"0,74",Tr,"2,05",Tr,"96,34"
"Curau, milho verde",100,"78,43","2,36","1,64","0,82","0,47","0,17","0,17",Tr,"4,74","13,94","0,46","52,60","15,96","0,06","74,66","0,45","20,51","161,84","0,03","0,40","12,07","0,04","0,07",Tr,Tr,Tr
"Curau, milho verde, mistura para",100,"402,29","2,22","13,37","3,00","4,90","1,40","1,38","0,03",NA,"79,82","2,52","30,88","8,50","0,05","44,62","0,86","222,93","55,34","0,03","0,24",NA,"0,13",Tr,Tr,Tr,Tr
"Farinha, de arroz, enriquecida",100,"363,06","1,27","0,30","0,20","0,10","0,20","0,17","0,01",NA,"85,50","0,58","1,12","4,30","0,04","35,96","31,38","17,10","12,54",Tr,"8,48",NA,"3,23",Tr,"3,47","24,42","173,59"
"Farinha, de centeio, integral",100,"335,78","12,52","1,75","0,30","0,30","0,80","0,73",,NA,"73,30","15,48","33,92","120,23","3,86","339,99","4,73","41,38","333,62","0,56","2,66",NA,"0,29","0,03","0,08",Tr,Tr
"Farinha, de milho, amarela",100,"350,59","7,19","1,47","0,40","0,40","0,60","0,63","0,02",NA,"79,08","5,49","1,29","30,96",Tr,"84,22","2,25","44,93","57,85","0,27","0,60",NA,"0,25",Tr,"0,25",Tr,Tr
"Farinha, de rosca",100,"370,58","11,38","1,46","0,60","0,40","0,80","0,74","0,05",NA,"75,79","4,82","35,30","56,88","1,62","194,96","6,73","332,50","212,14","0,26","1,67",NA,"0,25",Tr,"0,09",Tr,Tr
"Farinha, de trigo",100,"360,47","9,79","1,37","0,31","0,16","0,45","0,43","0,01",NA,"75,09","2,35","17,86","31,00","0,46","114,74","0,95","0,74","151,37","0,15","0,83",NA,"0,31",Tr,Tr,"0,89",Tr
"Farinha, láctea, de cereais",100,"414,85","11,88","5,79","3,30","1,40","0,60","0,59","0,03","11,27","77,77","1,94","196,06","57,69","1,49","296,44","8,72","125,07","365,60","0,19","1,73","492,25","1,43","1,13","1,14","9,50","24,31"
"Lasanha, massa fresca, cozida",100,"163,76","5,81","1,16","0,60","0,40","0,10","0,10",,NA,"32,52","1,64","9,97","3,54","0,20","42,38","1,19","206,77","53,91","0,07","0,41",NA,"0,04",Tr,Tr,"3,96", 
"Lasanha, massa fresca, crua",100,"220,31","7,01","1,34","0,50","0,40","0,40","0,38","0,01",NA,"45,06","1,61","16,55","12,59","0,34","81,96","1,87","666,71","136,61","0,10","0,76",NA,"0,08",Tr,Tr,Tr, 
"Macarrão, instantâneo",100,"435,86","8,79","17,24",,,,,,NA,"62,43","5,61","17,63","19,37","0,25","112,15","0,80","1515,53","147,92","0,10","0,50",NA,"1,18","0,04","0,53","9,37",Tr
"Macarrão, trigo, cru",100,"371,12","10,00","1,30",,,,,,NA,"77,94","2,93","17,30","27,69","0,53","99,81","0,88","7,17","147,06","0,15","0,78",NA,"0,18","0,02",Tr,"3,57",Tr
"Macarrão, trigo, cru, com ovos",100,"370,57","10,32","1,97","0,54","0,38","0,76","0,73","0,03","17,57","76,62","2,30","19,45",Tr,"0,40","118,48","0,92","14,74","134,10","0,14","0,81",Tr,"0,11","0,05","0,03","4,37",Tr
"Milho, amido, cru",100,"361,37","0,60",Tr,,,,,,NA,"87,15","0,74","1,06","3,03","0,02","12,60","0,13","8,08","8,54","0,02","0,08",NA,Tr,Tr,Tr,Tr,Tr
"Milho, fubá, cru",100,"353,48","7,21","1,90","0,43","0,89","1,32","1,29","0,03",NA,"78,87","4,71","2,67","41,23","0,34","107,84","0,85",Tr,"168,33","0,08","1,09",NA,"0,25",Tr,Tr,"0,75",Tr
"Milho, verde, cru",100,"138,17","6,59","0,61","0,20","0,20","0,60","0,53","0,02",NA,"28,56","3,92","1,61","32,58","0,12","112,71","0,41","1,12","184,82","0,05","0,52",NA,"0,30",Tr,"0,04",Tr,Tr
"Milho, verde, enlatado, drenado",100,"97,56","3,23","2,35","0,60","0,80","0,90","0,88","0,03",NA,"17,14","4,64","2,17","20,38","0,09","61,31","0,59","260,35","162,02","0,05","0,50",NA,Tr,"0,05",Tr,"3,74","1,74"
"Mingau tradicional, pó",100,"373,42","0,58","0,37","0,10",Tr,"0,10","0,13","0,01",NA,"89,34","0,88","522,05","4,28",Tr,"273,32","41,99","14,86",Tr,Tr,"15,21","1533,24","3,41",Tr,"3,11","19,39",Tr
"Pamonha, barra para cozimento, pré-cozida",100,"171,22","2,55","4,85","0,50","0,70","1,40","1,32","0,09",NA,"30,68","2,37","4,16","15,35","0,12","54,59","0,36","131,99","125,35","0,03","0,42",NA,Tr,Tr,Tr,Tr,Tr
"Pão, aveia, forma",100,"343,09","12,35","5,69","1,10","1,00","1,60","1,06","0,59",Tr,"59,57","5,98","108,69","56,68","1,08","182,20","4,73","605,76","210,08","0,14","1,73",Tr,"0,09","0,03","0,08",Tr,Tr
"Pão, de soja",100,"308,73","11,34","3,58","0,70","0,60","1,60","1,41","0,14",NA,"56,51","5,71","90,24","48,32","0,57","153,18","3,33","662,54","296,35","0,16","1,46",NA,"0,07","0,04","0,79",Tr,Tr
